order_id,order_date,customer_id,product_id,quantity,discount,shipping_cost,payment_method,region,order_status,customer_name,gender,age,city,state,signup_date,product_name,category,subcategory,selling_price,cost_price,gross_sales,discount_amount,net_sales,product_cost,profit_before_shipping,profit,profit_margin,is_delivered,is_returned,is_cancelled,realized_sales,realized_profit,year,month,month_name,quarter,year_month,age_group
ORD000001,2025-08-21,CUST04923,PROD0050,1,0.0,245.22,Cash On Delivery,East,Delivered,Sanjay Roy,Male,41,Bhopal,Madhya Pradesh,2025-10-06,Keyboard 1,Electronics,Accessories,28290.66,19313.98,28290.66,0.0,28290.66,19313.98,8976.68,8731.460000000001,0.3086340156079781,1,0,0,28290.66,8731.460000000001,2025,8,August,Q3,2025-08,36-45
ORD000002,2024-11-27,CUST00038,PROD0020,1,0.2,129.77,Debit Card,East,Returned,Kavya Das,Female,64,Bhubaneswar,Odisha,2024-12-26,Gaming Laptop 6,Electronics,Laptop,31587.9,17706.22,31587.9,6317.580000000001,25270.32,17706.22,7564.0999999999985,7434.329999999998,0.29419215902291695,0,1,0,0.0,0.0,2024,11,November,Q4,2024-11,56+
ORD000003,2025-11-23,CUST03293,PROD0194,4,0.15,306.85,Cash On Delivery,West,Delivered,Kavya Gupta,Female,28,Indore,Madhya Pradesh,2024-05-16,Running Shoes 5,Fashion,Footwear,1309.6,822.5,5238.4,785.7599999999999,4452.639999999999,3290.0,1162.6399999999994,855.7899999999994,0.19219833626792185,1,0,0,4452.639999999999,855.7899999999994,2025,11,November,Q4,2025-11,26-35
ORD000004,2025-04-16,CUST03744,PROD0009,2,0.15,439.93,Net Banking,South,Delivered,Kavya Roy,Female,32,Bengaluru,Karnataka,2023-12-04,Feature Phone 2,Electronics,Mobile,49609.81,39122.01,99219.62,14882.943,84336.677,78244.02,6092.656999999992,5652.726999999992,0.06702572594839125,1,0,0,84336.677,5652.726999999992,2025,4,April,Q2,2025-04,26-35
ORD000005,2025-06-20,CUST00697,PROD0134,4,0.0,482.79,Credit Card,West,Delivered,Pooja Gupta,Male,24,Ahmedabad,Gujarat,2024-04-08,Shirt 1,Fashion,Men,1850.85,1230.5,7403.4,0.0,7403.4,4922.0,2481.3999999999996,1998.6099999999997,0.2699583974930437,1,0,0,7403.4,1998.6099999999997,2025,6,June,Q2,2025-06,18-25
ORD000006,2023-07-30,CUST02136,PROD0230,1,0.15,226.85,Wallet,North,Delivered,Vikram Kumar,Male,26,Noida,Uttar Pradesh,2025-09-22,Sunscreen 6,Beauty,Skincare,1814.66,1195.56,1814.66,272.199,1542.461,1195.56,346.90100000000007,120.05100000000007,0.0778308171162837,1,0,0,1542.461,120.05100000000007,2023,7,July,Q3,2023-07,26-35
ORD000007,2025-10-31,CUST02775,PROD0040,1,0.0,210.65,Wallet,West,Delivered,Vikram Sinha,Female,64,Mumbai,Maharashtra,2023-05-10,Earbuds 5,Electronics,Audio,68132.48,54270.39,68132.48,0.0,68132.48,54270.39,13862.089999999997,13651.439999999997,0.20036611026048073,1,0,0,68132.48,13651.439999999997,2025,10,October,Q4,2025-10,56+
ORD000008,2024-02-23,CUST04612,PROD0093,1,0.05,317.03,Wallet,West,Returned,Rahul Sharma,Male,24,Pune,Maharashtra,2024-10-01,Office Chair 2,Home & Kitchen,Furniture,1613.38,1226.09,1613.38,80.66900000000001,1532.711,1226.09,306.6210000000001,-10.408999999999878,-0.006791234616310497,0,1,0,0.0,0.0,2024,2,February,Q1,2024-02,18-25
ORD000009,2024-11-02,CUST04715,PROD0265,1,0.1,386.95,Upi,East,Delivered,Sneha Kumar,Female,31,Nagpur,Maharashtra,2025-09-10,Foundation 6,Beauty,Makeup,1967.91,1105.46,1967.91,196.79100000000003,1771.1190000000001,1105.46,665.6590000000001,278.7090000000001,0.15736322629930574,1,0,0,1771.1190000000001,278.7090000000001,2024,11,November,Q4,2024-11,26-35
ORD000010,2024-04-14,CUST03351,PROD0210,1,0.1,93.79,Wallet,West,Delivered,Meera Yadav,Male,46,Mumbai,Maharashtra,2023-12-07,Formal Shoes 7,Fashion,Footwear,1454.74,1142.13,1454.74,145.47400000000002,1309.266,1142.13,167.13599999999997,73.34599999999996,0.0560207016755953,1,0,0,1309.266,73.34599999999996,2024,4,April,Q2,2024-04,46-55
