customer_id,customer_name,gender,age,city,state,signup_date
CUST00001,Vikram Verma,Male,26.0,Hyderabad,Telangana,2023-02-21
CUST00002,Sanjay Das,Male,19.0,Hyderabad,Telangana,2023-06-28
CUST00003,Sneha Mishra,Male,53.0,Bengaluru,Karnataka,2024-03-23
CUST00004,Sneha Roy,Female,18.0,Pune,Maharashtra,2025-05-09
CUST00005,Aditya Gupta,Male,31.0,Kolkata,West Bengal,2025-05-15
CUST00006,Arjun Das,Male,40.0,Patna,Bihar,2023-07-29
CUST00007,Aditi Sinha,Female,52.0,Bhopal,Madhya Pradesh,2024-06-25
CUST00008,Arjun Mishra,Female,58.0,Hyderabad,Telangana,2025-02-14
CUST00009,Sanjay Verma,Male,20.0,Noida,Uttar Pradesh,2025-01-10
CUST00010,Arjun Shah,Male,24.0,Ahmedabad,Gujarat,2024-08-15
CUST00011,Amit Jha,Female,28.0,Ranchi,Jharkhand,2024-07-23
CUST00012,Rohan Jha,Female,62.0,Bhopal,Madhya Pradesh,2024-12-28
CUST00013,Shreya Sinha,Male,28.0,Bengaluru,Karnataka,2023-12-17
CUST00014,Vikram Mehta,Male,61.0,Guwahati,Assam,2025-02-16
CUST00015,Sneha Shah,Male,38.0,Patna,Bihar,2023-04-25
CUST00016,Arjun Verma,Female,31.0,Ranchi,Jharkhand,2024-07-02
CUST00017,Amit Singh,Female,26.0,Chandigarh,Chandigarh,2025-03-21
CUST00018,Sanjay Das,Female,41.0,Ahmedabad,Gujarat,2024-06-22
CUST00019,Nikhil Roy,Male,21.0,Ahmedabad,Gujarat,2023-10-11
CUST00020,Priya Choudhary,Female,56.0,Hyderabad,Telangana,2023-11-10
CUST00021,Karan Yadav,Female,51.0,Bengaluru,Karnataka,2025-02-27
CUST00022,Ananya Jha,Female,59.0,Jaipur,Rajasthan,2023-01-24
CUST00023,Neha Das,Male,47.0,Patna,Bihar,2023-08-17
CUST00024,Nikhil Choudhary,Male,50.0,Delhi,Delhi,2024-06-23
CUST00025,Nikhil Yadav,Male,27.0,Hyderabad,Telangana,2024-09-03
CUST00026,Shreya Choudhary,Male,56.0,Bhopal,Madhya Pradesh,2023-11-27
CUST00027,Aarav Kumar,Female,37.0,Patna,Bihar,2025-09-27
CUST00028,Sneha Mehta,Male,23.0,Ahmedabad,Gujarat,2023-04-29
CUST00029,Shreya Choudhary,Male,26.0,Chandigarh,Chandigarh,2023-05-22
CUST00030,Vikram Mishra,Female,,Chandigarh,Chandigarh,2023-12-05
CUST00031,Neha Das,Female,46.0,Nagpur,Maharashtra,2024-02-16
CUST00032,Ananya Verma,Male,22.0,Indore,Madhya Pradesh,2025-07-13
CUST00033,Sanjay Mishra,Male,55.0,Patna,Bihar,2023-02-13
CUST00034,Arjun Sinha,Male,32.0,Ahmedabad,Gujarat,2023-01-15
CUST00035,Aditya Kumar,Male,35.0,Bengaluru,Karnataka,2023-03-06
CUST00036,Shreya Singh,Female,33.0,Chandigarh,Chandigarh,2024-03-14
CUST00037,Rohan Kumar,Male,60.0,Chandigarh,Chandigarh,2025-04-13
CUST00038,Kavya Das,Female,64.0,Bhubaneswar,Odisha,2024-12-26
CUST00039,Aditi Das,Female,24.0,Mumbai,Maharashtra,2023-07-21
CUST00040,Rohan Mishra,Female,26.0,Ahmedabad,Gujarat,2024-01-28
